loss,params,iteration,estimators,train_time
1.0,"{'colsample_bytree': 0.8934896430446546, 'learning_rate': 0.1449377119493483, 'min_child_samples': 295, 'num_leaves': 495, 'reg_alpha': 0.5202969255620934, 'reg_lambda': 0.3528646289910248, 'subsample_for_bin': 90000}",24,1,0.9415011999999976
0.39792972902664536,"{'colsample_bytree': 0.682888862971878, 'learning_rate': 0.030137499397813513, 'min_child_samples': 25, 'num_leaves': 245, 'reg_alpha': 0.5311014209612664, 'reg_lambda': 0.16223489104173106, 'subsample_for_bin': 180000}",25,169,2.546599899999997
1.0,"{'colsample_bytree': 0.8933511664081576, 'learning_rate': 0.012886603038685456, 'min_child_samples': 335, 'num_leaves': 295, 'reg_alpha': 0.6738850457514023, 'reg_lambda': 0.3230397480347067, 'subsample_for_bin': 50000}",26,1,0.7681533999999957
0.48122063987302865,"{'colsample_bytree': 0.853038659683189, 'learning_rate': 0.028874447719487068, 'min_child_samples': 80, 'num_leaves': 215, 'reg_alpha': 0.6944409582144702, 'reg_lambda': 0.3142085186598258, 'subsample_for_bin': 10000}",27,421,3.3781132000000014
0.4322655127433662,"{'colsample_bytree': 0.7871419767888914, 'learning_rate': 0.06518116682200986, 'min_child_samples': 25, 'num_leaves': 455, 'reg_alpha': 0.44057357625938304, 'reg_lambda': 0.12397409401153608, 'subsample_for_bin': 90000}",28,81,1.7173794999999998
1.0,"{'colsample_bytree': 0.9765069234678266, 'learning_rate': 0.023289786606010835, 'min_child_samples': 150, 'num_leaves': 400, 'reg_alpha': 0.5559184519787714, 'reg_lambda': 0.5143022147372904, 'subsample_for_bin': 200000}",29,1,0.7296389000000048
0.5898846860104536,"{'colsample_bytree': 0.8301905187227095, 'learning_rate': 0.04510331183901158, 'min_child_samples': 100, 'num_leaves': 110, 'reg_alpha': 0.6939878784679554, 'reg_lambda': 0.6360989910843502, 'subsample_for_bin': 140000}",30,203,1.7769161999999952
1.0,"{'colsample_bytree': 0.9055998203599938, 'learning_rate': 0.014200036424049205, 'min_child_samples': 55, 'num_leaves': 275, 'reg_alpha': 0.8674780320254327, 'reg_lambda': 0.827294882692757, 'subsample_for_bin': 30000}",31,1,0.736023000000003
1.0,"{'colsample_bytree': 0.9213816671995481, 'learning_rate': 0.14282370581285844, 'min_child_samples': 200, 'num_leaves': 325, 'reg_alpha': 0.43557713399559744, 'reg_lambda': 0.01732733271038364, 'subsample_for_bin': 70000}",32,1,0.7598471000000018
1.0,"{'colsample_bytree': 0.9773681457267673, 'learning_rate': 0.010247740067725806, 'min_child_samples': 300, 'num_leaves': 405, 'reg_alpha': 0.5813187723112911, 'reg_lambda': 0.17259413758911202, 'subsample_for_bin': 100000}",33,1,0.8008188000000018
